timestamp,latitude,longitude,altitude,heading,pitch,roll,ve,vn,vu,ae,an,au,vheading,vpitch,vroll
1783590157000,48.066825,170.313735,3093.766600,158.140000,4.900000,-4.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590158000,48.066356,170.313964,3098.412400,154.920000,5.360000,-6.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590159000,48.066055,170.314125,3102.097000,153.120000,5.690000,-5.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590160000,48.065670,170.314331,3107.543800,151.780000,6.080000,-5.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590161000,48.065299,170.314544,3113.471200,150.430000,6.100000,-6.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590162000,48.064712,170.314918,3123.243400,147.510000,7.650000,-6.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590163000,48.064350,170.315162,3129.010600,145.870000,7.830000,-6.760000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590164000,48.063926,170.315475,3135.578800,143.540000,8.170000,-6.170000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590165000,48.063648,170.315681,3139.583800,142.290000,7.850000,-6.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590166000,48.063316,170.315948,3144.389800,140.460000,7.460000,-6.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590167000,48.062976,170.316238,3148.875400,138.800000,6.460000,-6.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590168000,48.062652,170.316528,3152.880400,137.580000,6.820000,-5.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590169000,48.062259,170.316902,3156.565000,136.590000,6.570000,-5.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590170000,48.062011,170.317138,3158.487400,136.020000,6.620000,-6.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590171000,48.061695,170.317466,3160.730200,134.710000,5.390000,-6.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590172000,48.061389,170.317802,3163.613800,133.300000,5.300000,-5.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590173000,48.061088,170.318145,3166.817800,132.200000,5.910000,-4.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590174000,48.060672,170.318641,3171.623800,130.490000,6.210000,-5.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590174000,48.060382,170.319015,3174.988000,129.270000,6.590000,-6.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590177000,48.060104,170.319381,3178.192000,128.730000,6.960000,-4.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590178000,48.059829,170.319763,3181.396000,128.290000,6.860000,-4.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590179000,48.059562,170.320144,3184.439800,127.950000,6.660000,-5.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590180000,48.059299,170.320541,3187.483600,126.820000,6.940000,-4.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590181000,48.058994,170.321022,3191.008000,125.850000,6.490000,-4.540000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590181000,48.058795,170.321334,3192.930400,125.610000,7.050000,-4.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590182000,48.058418,170.321983,3195.814000,123.770000,7.010000,-5.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590183000,48.058219,170.322341,3197.095600,123.460000,6.730000,-5.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590184000,48.057960,170.322830,3199.178200,122.540000,6.100000,-6.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590185000,48.057746,170.323257,3201.901600,120.330000,6.100000,-5.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590186000,48.057449,170.323883,3206.867800,119.060000,6.320000,-5.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590187000,48.057334,170.324134,3209.110600,118.580000,6.810000,-5.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590188000,48.057140,170.324600,3213.115600,117.650000,6.880000,-5.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
